app_id,release_date,release_price,initial_list_price,discount_percent,currency,release_price_steamspy,avg_playtime,owners_min,owners_max,owners_median,review_count,positive_count,ts_min,ts_max,positive_ratio
29800,2009-03-19,9.99,9.99,0.0,USD,9.99,224,200000.0,500000.0,350000.0,,,,,
543870,2017-08-25,9.99,19.99,50.0,USD,9.99,8714,50000.0,100000.0,75000.0,26.0,24.0,1503677688.0,1509073106.0,92.3076923076923
552450,2017-03-30,19.99,19.99,0.0,USD,19.99,87,50000.0,100000.0,75000.0,28.0,23.0,1490968546.0,1498266968.0,82.14285714285714
33980,2010-11-05,9.99,9.99,0.0,USD,9.99,84,20000.0,50000.0,35000.0,8.0,5.0,1290202507.0,1296519257.0,62.5
548340,2016-12-01,9.99,9.99,0.0,USD,9.99,151,50000.0,100000.0,75000.0,68.0,67.0,1480648258.0,1488233046.0,98.52941176470588
42120,2010-04-08,0.99,9.99,90.0,USD,9.99,222,100000.0,200000.0,150000.0,,,,,
584930,2017-05-02,9.99,9.99,0.0,USD,9.99,37,20000.0,50000.0,35000.0,41.0,38.0,1493758307.0,1499976551.0,92.6829268292683
26900,2009-05-06,19.99,19.99,0.0,USD,19.99,63,500000.0,1000000.0,750000.0,,,,,
42500,2010-06-14,0.99,0.99,0.0,USD,0.99,143,100000.0,200000.0,150000.0,,,,,
574030,2016-12-28,2.99,2.99,0.0,USD,2.99,267,0.0,20000.0,10000.0,1.0,1.0,1485318328.0,1485318328.0,100.0
549260,2017-02-02,9.99,9.99,0.0,USD,9.99,171,50000.0,100000.0,75000.0,57.0,50.0,1486062208.0,1493013705.0,87.71929824561403
1630,2006-07-06,5.99,5.99,0.0,USD,5.99,390,50000.0,100000.0,75000.0,,,,,
32390,2009-09-16,2.99,2.99,0.0,USD,2.99,75,200000.0,500000.0,350000.0,,,,,
130,2001-06-01,4.99,4.99,0.0,USD,4.99,389,1000000.0,2000000.0,1500000.0,,,,,
542720,2016-10-24,0.99,0.99,0.0,USD,0.99,297,50000.0,100000.0,75000.0,,,,,
585630,2018-08-28,,,,,0.0,0,50000.0,100000.0,75000.0,9.0,7.0,1535590707.0,1542062417.0,77.77777777777779
582160,2017-10-26,59.99,59.99,0.0,USD,59.99,2452,1000000.0,2000000.0,1500000.0,5550.0,4494.0,1509078457.0,1516751546.0,80.97297297297297
574760,2017-07-04,,,,,0.0,505,100000.0,200000.0,150000.0,330.0,204.0,1499223195.0,1506724578.0,61.81818181818181
23450,2009-03-20,2.99,14.99,80.0,USD,2.99,670,200000.0,500000.0,350000.0,,,,,
589770,2017-04-20,,,,,0.0,247,50000.0,100000.0,75000.0,4.0,4.0,1492818475.0,1495737563.0,100.0
15190,2008-05-13,3.99,9.99,60.0,USD,3.99,329,200000.0,500000.0,350000.0,,,,,
24720,2009-06-23,4.99,19.99,75.0,USD,4.99,1065,500000.0,1000000.0,750000.0,,,,,
536990,2016-12-01,,,,,0.0,172,20000.0,50000.0,35000.0,18.0,16.0,1480604004.0,1487499668.0,88.88888888888889
577670,2018-03-08,9.99,9.99,0.0,USD,9.99,244,100000.0,200000.0,150000.0,58.0,32.0,1520540558.0,1526255322.0,55.172413793103445
4920,2012-10-30,4.99,4.99,0.0,USD,4.99,1278,1000000.0,2000000.0,1500000.0,446.0,434.0,1351653255.0,1359239907.0,97.30941704035875
6510,2007-06-26,3.44,14.99,77.0,USD,3.44,420,200000.0,500000.0,350000.0,,,,,
4000,2006-11-29,4.99,9.99,50.0,USD,4.99,10292,20000000.0,50000000.0,35000000.0,,,,,
11020,2008-04-16,,,,,0.0,901,2000000.0,5000000.0,3500000.0,,,,,
572430,2018-10-25,19.99,19.99,0.0,USD,19.99,177,200000.0,500000.0,350000.0,136.0,110.0,1540484014.0,1547703915.0,80.88235294117648
593530,2017-12-11,1.99,9.99,80.0,USD,1.99,255,20000.0,50000.0,35000.0,15.0,4.0,1513035323.0,1516910739.0,26.666666666666668
45760,2014-08-07,3.89,29.99,87.0,USD,3.89,1811,500000.0,1000000.0,750000.0,375.0,298.0,1407385429.0,1415138666.0,79.46666666666667
38600,2010-09-17,14.99,14.99,0.0,USD,14.99,744,20000.0,50000.0,35000.0,1.0,1.0,1287834040.0,1287834040.0,100.0
6220,2007-02-02,1.49,7.49,80.0,USD,1.49,232,100000.0,200000.0,150000.0,,,,,
420,2007-10-10,,,,,19.99,0,5000000.0,10000000.0,7500000.0,,,,,
543460,2017-03-14,29.99,29.99,0.0,USD,29.99,476,200000.0,500000.0,350000.0,136.0,71.0,1489511696.0,1495887665.0,52.20588235294118
15710,2008-08-28,2.99,2.99,0.0,USD,2.99,204,200000.0,500000.0,350000.0,,,,,
550650,2019-06-26,,,,,0.0,2275,10000000.0,20000000.0,15000000.0,1.0,1.0,1564318079.0,1564318079.0,100.0
23490,2009-10-20,9.99,9.99,0.0,USD,9.99,406,1000000.0,2000000.0,1500000.0,,,,,
37400,2009-08-25,4.99,4.99,0.0,USD,4.99,28,200000.0,500000.0,350000.0,,,,,
585450,2018-08-31,29.99,29.99,0.0,USD,29.99,654,100000.0,200000.0,150000.0,135.0,122.0,1535740151.0,1543431376.0,90.37037037037037
34600,2009-09-17,1.19,7.99,85.0,USD,1.19,1146,100000.0,200000.0,150000.0,,,,,
582890,2020-05-22,5.99,5.99,0.0,USD,5.99,197,100000.0,200000.0,150000.0,16.0,13.0,1590329212.0,1597241273.0,81.25
1840,2012-07-10,,,,,0.0,985,1000000.0,2000000.0,1500000.0,,,,,
7770,2008-09-04,4.99,4.99,0.0,USD,4.99,26,200000.0,500000.0,350000.0,,,,,
539670,2016-10-20,14.99,14.99,0.0,USD,14.99,172,50000.0,100000.0,75000.0,30.0,25.0,1477007784.0,1484586046.0,83.33333333333334
564050,2018-04-20,14.99,14.99,0.0,USD,14.99,178,50000.0,100000.0,75000.0,42.0,38.0,1524245873.0,1531573508.0,90.47619047619048
558100,2016-12-22,,,,,0.0,664,1000000.0,2000000.0,1500000.0,258.0,242.0,1485016520.0,1488313754.0,93.7984496124031
9340,2007-09-24,3.99,19.99,80.0,USD,3.99,452,1000000.0,2000000.0,1500000.0,,,,,
588730,2017-03-28,5.99,5.99,0.0,USD,5.99,335,0.0,20000.0,10000.0,30.0,30.0,1490725774.0,1498429946.0,100.0
588030,2019-01-25,39.99,39.99,0.0,USD,39.99,3321,500000.0,1000000.0,750000.0,200.0,186.0,1548448567.0,1556058858.0,93.0
589530,2017-08-24,9.99,9.99,0.0,USD,9.99,1026,50000.0,100000.0,75000.0,31.0,27.0,1503638270.0,1509232219.0,87.09677419354838
80,2004-03-01,9.99,9.99,0.0,USD,9.99,1628,5000000.0,10000000.0,7500000.0,,,,,
594650,2019-08-27,29.99,29.99,0.0,USD,29.99,9205,10000000.0,20000000.0,15000000.0,2610.0,2062.0,1566867225.0,1574638996.0,79.00383141762453
20540,2009-04-08,3.99,19.99,80.0,USD,3.99,892,500000.0,1000000.0,750000.0,,,,,
39110,2010-02-03,2.49,4.99,50.0,USD,2.49,128,50000.0,100000.0,75000.0,,,,,
630,2010-07-19,,,,,0.0,1004,2000000.0,5000000.0,3500000.0,,,,,
578080,2017-12-21,,,,,0.0,24197,100000000.0,200000000.0,150000000.0,36553.0,18093.0,1513814530.0,1521590038.0,49.497989221130965
25990,2009-09-04,9.99,9.99,0.0,USD,9.99,145,200000.0,500000.0,350000.0,,,,,
595140,2017-04-25,5.98,19.95,70.0,USD,5.98,455,20000.0,50000.0,35000.0,215.0,204.0,1493153327.0,1500655913.0,94.88372093023256
544750,2018-10-18,59.99,59.99,0.0,USD,59.99,880,1000000.0,2000000.0,1500000.0,1392.0,1154.0,1539901471.0,1547544806.0,82.90229885057471
595430,2017-07-27,9.99,9.99,0.0,USD,9.99,248,50000.0,100000.0,75000.0,57.0,56.0,1501152395.0,1508382797.0,98.24561403508771
567670,2017-11-09,29.99,29.99,0.0,USD,29.99,85,50000.0,100000.0,75000.0,93.0,90.0,1510263674.0,1517609748.0,96.7741935483871
537520,2018-02-20,1.19,11.99,90.0,USD,1.19,114,0.0,20000.0,10000.0,29.0,15.0,1519149875.0,1525004160.0,51.724137931034484
583760,2017-01-24,1.99,39.99,95.0,USD,1.99,307,50000.0,100000.0,75000.0,76.0,74.0,1485300775.0,1492783352.0,97.36842105263158
573680,2017-10-20,,,,,0.0,62,20000.0,50000.0,35000.0,6.0,2.0,1508507964.0,1510505048.0,33.33333333333333
